task,cohort,model,session_id,scenario_id,ground_truth,predicted,error_category,security_privacy_impact
TASK_3_THREE_TIER_POLICY,TARGETED_41,Random_Forest,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,TARGETED_41,Random_Forest,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260925_205225_4c8447,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260925_205242_fa728c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,LEGITIMATE,CRITICAL_FALSE_LEGITIMATE,Suspicious/background activation mistaken for user intent; high privacy hazard
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260925_205359_3c25f9,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260925_213507_2518a5,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260925_213559_3a8b54,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260925_231001_rep1_905422,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260925_232728_rep1_95371d,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,exp_20260926_000517_rep1_b4db6b,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260925_205225_4c8447,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260925_205242_fa728c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,LEGITIMATE,CRITICAL_FALSE_LEGITIMATE,Suspicious/background activation mistaken for user intent; high privacy hazard
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260925_205359_3c25f9,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260925_213507_2518a5,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260925_213559_3a8b54,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260925_231001_rep1_905422,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260925_232728_rep1_95371d,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260926_000517_rep1_b4db6b,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,exp_20260926_000754_rep1_d81a2a,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260925_205225_4c8447,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260925_205242_fa728c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,LEGITIMATE,CRITICAL_FALSE_LEGITIMATE,Suspicious/background activation mistaken for user intent; high privacy hazard
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260925_205359_3c25f9,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260925_213507_2518a5,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260925_213559_3a8b54,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260925_231001_rep1_905422,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260925_232728_rep1_95371d,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260926_000517_rep1_b4db6b,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,exp_20260926_000754_rep1_d81a2a,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_205359_3c25f9,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_205411_132d32,PERMISSION_DENIED,CONTROLS,LEGITIMATE,CATASTROPHIC_FALSE_POSITIVE,Dormant camera erroneously detected as active user photography
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_205415_44d5a7,PERMISSION_DENIED,CONTROLS,LEGITIMATE,CATASTROPHIC_FALSE_POSITIVE,Dormant camera erroneously detected as active user photography
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_205459_c6df69,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,LEGITIMATE,CATASTROPHIC_FALSE_POSITIVE,Dormant camera erroneously detected as active user photography
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_213507_2518a5,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_213559_3a8b54,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_231001_rep1_905422,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,CONTROLS,OTHER_MISCLASSIFICATION,General multiclass error
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260925_232728_rep1_95371d,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260926_000517_rep1_b4db6b,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,exp_20260926_000754_rep1_d81a2a,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,CONTROLS,NON_ACQUISITION_CONTROL_COLLAPSE,Ambiguous session without camera open grouped with negative controls
