cohort,session_id,scenario_id,ground_truth,deterministic_result,ml_invoked,ml_result,final_result,tier_used,is_correct
TARGETED_41,exp_20260925_234105_rep4_fd8d01,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260925_234114_rep5_2c960d,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
TARGETED_41,exp_20260926_000031_rep1_9ad0be,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000047_rep2_4204a3,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000056_rep3_885f70,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000105_rep4_222268,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000116_rep5_0f2d74,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000225_rep1_6ae50e,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000237_rep2_09dcf2,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000246_rep3_526faf,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000257_rep4_e9ed66,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000305_rep5_7273fd,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
TARGETED_41,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
TARGETED_41,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
TARGETED_41,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
TARGETED_41,exp_20260926_000531_rep1_e0afc5,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260926_000553_rep2_69cb5c,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260926_000613_rep3_a18273,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260926_000631_rep4_36d987,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260926_000654_rep5_4c05e3,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260926_000808_rep1_09f4c6,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260926_000829_rep2_057a8a,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
TARGETED_41,exp_20260926_000855_rep3_9fe901,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_205225_4c8447,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_205229_a23480,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_205242_fa728c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,LEGITIMATE,LEGITIMATE,ML,False
ACCUMULATED_89,exp_20260925_205301_087164,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_205359_3c25f9,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_205411_132d32,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_205415_44d5a7,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_205459_c6df69,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_205531_a6d2f8,CAMERA_SESSION_CLOSED,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_213507_2518a5,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_213524_de5603,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_213559_3a8b54,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
ACCUMULATED_89,exp_20260925_213628_42d2d5,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231001_rep1_905422,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231012_rep1_825301,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231144_rep2_24d54b,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231222_rep3_04ff2f,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231248_rep4_fbbc6d,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231325_rep5_b01a86,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231536_rep1_845cf4,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231602_rep2_cd4e25,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231629_rep3_9201a9,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231652_rep4_26b219,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231714_rep5_9293ed,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_231840_rep1_68e07e,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_231944_rep2_8e696e,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232026_rep3_eacd7c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232113_rep4_6c72f2,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232146_rep5_f1b4e2,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232235_rep1_ba06ae,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_232248_rep2_725593,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_232259_rep3_fe075e,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_232307_rep4_4775ba,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_232320_rep5_ee9cca,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_232418_rep1_37f404,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_232615_rep1_f66aac,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_232624_rep1_0f140b,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_232637_rep2_ee458a,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_232649_rep3_0c3616,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_232655_rep4_18ebfb,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_232701_rep5_e4372c,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260925_232728_rep1_95371d,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
ACCUMULATED_89,exp_20260925_232822_rep1_1756b9,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232853_rep2_b5331d,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232911_rep3_384a1b,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232929_rep4_81c6fd,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_232950_rep5_1bee7a,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233037_rep5_993a3b,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233109_rep2_906eaf,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233135_rep3_a01108,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233546_rep1_781d02,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_233559_rep2_f155ab,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_233610_rep3_3b7ffd,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_233621_rep4_444c85,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_233630_rep5_20cd33,NORMAL_FOREGROUND_CAMERA,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_233810_rep1_4548ee,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233828_rep2_670f75,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233846_rep3_5234b0,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233903_rep4_9c5492,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_233922_rep5_81205c,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260925_234031_rep1_6c15cf,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_234046_rep2_556297,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_234056_rep3_503771,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_234105_rep4_fd8d01,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260925_234114_rep5_2c960d,CAMERA_START_STOP,LEGITIMATE,LEGITIMATE,False,NOT_INVOKED,LEGITIMATE,RULE,True
ACCUMULATED_89,exp_20260926_000031_rep1_9ad0be,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000047_rep2_4204a3,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000056_rep3_885f70,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000105_rep4_222268,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000116_rep5_0f2d74,PERMISSION_DENIED,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000211_rep1_9e3200,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000225_rep1_6ae50e,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000237_rep2_09dcf2,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000246_rep3_526faf,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000257_rep4_e9ed66,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000305_rep5_7273fd,PERMISSION_GRANTED_NO_CAMERA,CONTROLS,CONTROLS,False,NOT_INVOKED,CONTROLS,RULE,True
ACCUMULATED_89,exp_20260926_000409_rep1_8e3053,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
ACCUMULATED_89,exp_20260926_000424_rep2_41fc88,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
ACCUMULATED_89,exp_20260926_000436_rep3_50bdfb,AMBIGUOUS_CONTEXT,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
ACCUMULATED_89,exp_20260926_000517_rep1_b4db6b,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
ACCUMULATED_89,exp_20260926_000531_rep1_e0afc5,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260926_000553_rep2_69cb5c,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260926_000613_rep3_a18273,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260926_000631_rep4_36d987,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260926_000654_rep5_4c05e3,AUTOMATED_BACKGROUND_TRIGGER,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260926_000754_rep1_d81a2a,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,CONTROLS,CONTROLS,ML,False
ACCUMULATED_89,exp_20260926_000808_rep1_09f4c6,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260926_000829_rep2_057a8a,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
ACCUMULATED_89,exp_20260926_000855_rep3_9fe901,BACKGROUND_CAMERA_CONTINUATION,AMBIGUOUS,UNKNOWN,True,AMBIGUOUS,AMBIGUOUS,ML,True
