session_id,cohort,scenario_id,ground_truth_context,repetition,inclusion_status,exclusion_reason,camera_hardware_acquisition,camera_hardware_id,is_back_camera,screen_state_t0,screen_state_transitions,trigger_mechanism,recent_user_interaction_at_trigger,f06_package_confidence,f07_inference_method,f12_duration_ms
exp_20260925_213507_2518a5,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",PASSIVE_OR_STARTUP,true,0,NONE,9150
exp_20260925_213524_de5603,BASELINE_16,PERMISSION_DENIED,PERMISSION_DENIED,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",PERMISSION_EVALUATION,true,0,NONE,18020
exp_20260925_213559_3a8b54,BASELINE_16,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN",OBSERVATION_EVALUATION,true,0,NONE,19990
exp_20260925_213628_42d2d5,BASELINE_16,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_BACKGROUND_CONTINUATION,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,UNKNOWN,"UNKNOWN",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,31077
exp_20260925_231001_rep1_905422,INTERMEDIATE_35,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_BACKGROUND_CONTINUATION,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PASSIVE_OR_STARTUP,true,0,NONE,5084
exp_20260925_231012_rep1_825301,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,10438
exp_20260925_231144_rep2_24d54b,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,16487
exp_20260925_231222_rep3_04ff2f,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,3,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,12388
exp_20260925_231248_rep4_fbbc6d,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,4,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,20249
exp_20260925_231325_rep5_b01a86,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_BACKGROUND_CONTINUATION,5,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,102873
exp_20260925_231536_rep1_845cf4,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,15877
exp_20260925_231602_rep2_cd4e25,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,2,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,12943
exp_20260925_231629_rep3_9201a9,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,3,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,13009
exp_20260925_231652_rep4_26b219,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,4,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,13128
exp_20260925_231714_rep5_9293ed,TARGETED_41,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,5,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,58012
exp_20260925_231840_rep1_68e07e,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,33762
exp_20260925_231944_rep2_8e696e,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,27595
exp_20260925_232026_rep3_eacd7c,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,3,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,37667
exp_20260925_232113_rep4_6c72f2,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,4,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,25532
exp_20260925_232146_rep5_f1b4e2,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,5,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,37958
exp_20260925_232235_rep1_ba06ae,INTERMEDIATE_35,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,3655
exp_20260925_232248_rep2_725593,INTERMEDIATE_35,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,4387
exp_20260925_232259_rep3_fe075e,INTERMEDIATE_35,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,3,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,2683
exp_20260925_232307_rep4_4775ba,INTERMEDIATE_35,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,4,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,5808
exp_20260925_232320_rep5_ee9cca,INTERMEDIATE_35,CAMERA_START_STOP,USER_INITIATED_BACKGROUND_CONTINUATION,5,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,48787
exp_20260925_232418_rep1_37f404,INTERMEDIATE_35,PERMISSION_DENIED,PERMISSION_DENIED,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PERMISSION_EVALUATION,true,0,NONE,106544
exp_20260925_232615_rep1_f66aac,INTERMEDIATE_35,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260925_232624_rep1_0f140b,INTERMEDIATE_35,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260925_232637_rep2_ee458a,INTERMEDIATE_35,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,2,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260925_232649_rep3_0c3616,INTERMEDIATE_35,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,3,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260925_232655_rep4_18ebfb,INTERMEDIATE_35,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,4,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260925_232701_rep5_e4372c,INTERMEDIATE_35,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,5,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,14806
exp_20260925_232728_rep1_95371d,INTERMEDIATE_35,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",OBSERVATION_EVALUATION,true,0,NONE,38508
exp_20260925_232822_rep1_1756b9,INTERMEDIATE_35,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",AUTOMATED_TIMER,false,1,USAGE_STATS_ACTIVITY_PAUSED,16534
exp_20260925_232853_rep2_b5331d,INTERMEDIATE_35,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",AUTOMATED_TIMER,false,1,USAGE_STATS_ACTIVITY_PAUSED,12091
exp_20260925_232911_rep3_384a1b,INTERMEDIATE_35,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,3,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",AUTOMATED_TIMER,false,1,USAGE_STATS_ACTIVITY_PAUSED,13076
exp_20260925_232929_rep4_81c6fd,INTERMEDIATE_35,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,4,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",AUTOMATED_TIMER,false,1,USAGE_STATS_ACTIVITY_PAUSED,13252
exp_20260925_232950_rep5_1bee7a,INTERMEDIATE_35,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,5,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",AUTOMATED_TIMER,false,1,USAGE_STATS_ACTIVITY_PAUSED,29642
exp_20260925_233037_rep5_993a3b,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,5,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED->OFF->ON_LOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,18121
exp_20260925_233109_rep2_906eaf,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED->OFF->ON_LOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,11927
exp_20260925_233135_rep3_a01108,INTERMEDIATE_35,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,3,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED->OFF->ON_LOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,116165
exp_20260925_233546_rep1_781d02,INTERMEDIATE_35,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,7354
exp_20260925_233559_rep2_f155ab,INTERMEDIATE_35,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,2,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,4689
exp_20260925_233610_rep3_3b7ffd,INTERMEDIATE_35,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,3,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,5237
exp_20260925_233621_rep4_444c85,INTERMEDIATE_35,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,4,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,5330
exp_20260925_233630_rep5_20cd33,INTERMEDIATE_35,NORMAL_FOREGROUND_CAMERA,USER_INITIATED_FOREGROUND,5,INCLUDED,"",CAMERA_ACQUISITION,1,FALSE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,5985
exp_20260925_233810_rep1_4548ee,TARGETED_41,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,11301
exp_20260925_233828_rep2_670f75,TARGETED_41,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,13103
exp_20260925_233846_rep3_5234b0,TARGETED_41,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,3,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,13685
exp_20260925_233903_rep4_9c5492,TARGETED_41,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,4,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,13696
exp_20260925_233922_rep5_81205c,TARGETED_41,BACKGROUND_CAMERA_CONTINUATION,USER_INITIATED_BACKGROUND_CONTINUATION,5,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,1,USAGE_STATS_ACTIVITY_PAUSED,11149
exp_20260925_234031_rep1_6c15cf,TARGETED_41,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,6252
exp_20260925_234046_rep2_556297,TARGETED_41,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,5110
exp_20260925_234056_rep3_503771,TARGETED_41,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,3,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,4840
exp_20260925_234105_rep4_fd8d01,TARGETED_41,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,4,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,4549
exp_20260925_234114_rep5_2c960d,TARGETED_41,CAMERA_START_STOP,USER_INITIATED_FOREGROUND,5,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",USER_BUTTON_PRESS,true,2,USAGE_STATS_ACTIVITY_RESUMED,5089
exp_20260926_000031_rep1_9ad0be,TARGETED_41,PERMISSION_DENIED,PERMISSION_DENIED,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PERMISSION_EVALUATION,true,0,NONE,0
exp_20260926_000047_rep2_4204a3,TARGETED_41,PERMISSION_DENIED,PERMISSION_DENIED,2,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PERMISSION_EVALUATION,true,0,NONE,0
exp_20260926_000056_rep3_885f70,TARGETED_41,PERMISSION_DENIED,PERMISSION_DENIED,3,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PERMISSION_EVALUATION,true,0,NONE,0
exp_20260926_000105_rep4_222268,TARGETED_41,PERMISSION_DENIED,PERMISSION_DENIED,4,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PERMISSION_EVALUATION,true,0,NONE,0
exp_20260926_000116_rep5_0f2d74,TARGETED_41,PERMISSION_DENIED,PERMISSION_DENIED,5,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PERMISSION_EVALUATION,true,0,NONE,0
exp_20260926_000211_rep1_9e3200,INTERMEDIATE_35,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PASSIVE_OR_STARTUP,true,0,NONE,0
exp_20260926_000225_rep1_6ae50e,TARGETED_41,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260926_000237_rep2_09dcf2,TARGETED_41,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,2,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260926_000246_rep3_526faf,TARGETED_41,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,3,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260926_000257_rep4_e9ed66,TARGETED_41,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,4,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260926_000305_rep5_7273fd,TARGETED_41,PERMISSION_GRANTED_NO_CAMERA,NO_CAMERA_ACTIVITY,5,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",NO_CAMERA_EVALUATION,true,0,NONE,0
exp_20260926_000409_rep1_8e3053,TARGETED_41,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",OBSERVATION_EVALUATION,true,0,NONE,0
exp_20260926_000424_rep2_41fc88,TARGETED_41,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,2,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",OBSERVATION_EVALUATION,true,0,NONE,0
exp_20260926_000436_rep3_50bdfb,TARGETED_41,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,3,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",OBSERVATION_EVALUATION,true,0,NONE,0
exp_20260926_000517_rep1_b4db6b,INTERMEDIATE_35,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,1,INCLUDED,"",NO_CAMERA_CONTROL,UNKNOWN,UNKNOWN,ON_UNLOCKED,"ON_UNLOCKED",PASSIVE_OR_STARTUP,true,0,NONE,0
exp_20260926_000531_rep1_e0afc5,TARGETED_41,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,1,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",AUTOMATED_TIMER,false,1,USAGE_STATS_ACTIVITY_PAUSED,14793
exp_20260926_000553_rep2_69cb5c,TARGETED_41,AUTOMATED_BACKGROUND_TRIGGER,AUTOMATED_BACKGROUND_TRIGGER,2,INCLUDED,"",CAMERA_ACQUISITION,0,TRUE,ON_UNLOCKED,"ON_UNLOCKED",AUTOMATED_TIMER,false,1,USAGE_STATS_ACTIVITY_PAUSED,15818
